state,district,case,cured,active,death
"uttarakhand","pauri garhwal","182","152","25","4"
"uttarakhand","uttarkashi","105","88","16","1"
"uttarakhand","bageshwar","95","94","0","1"
"uttarakhand","chamoli","81","76","5","0"
"uttarakhand","pithoragarh","80","65","15","0"
"uttarakhand","champawat","74","58","15","1"
"uttarakhand","rudraprayag","67","66","0","1"
"goa","south goa","1544","765","761","18"
"goa","unknown","1011","923","88","0"
"goa","north goa","771","323","445","3"
"goa","other state","158","27","131","0"
"state unassigned","unassigned","313","0","313","0"
"tripura","sipahijala","690","598","92","0"
"tripura","west tripura","401","229","166","1"
"tripura","gomati","353","223","129","0"
"tripura","dhalai","299","252","46","0"
"tripura","khowai","232","124","106","2"
"tripura","south tripura","187","137","49","0"
"tripura","north tripura","123","48","69","0"
"tripura","unknown","118","0","118","0"
"tripura","unokoti","94","73","21","0"
"manipur","ukhrul","247","18","229","0"
"manipur","tamenglong","206","32","174","0"
"manipur","senapati","192","21","171","0"
"manipur","kangpokpi","171","19","152","0"
"manipur","imphal west","171","52","119","0"
"manipur","churachandpur","162","58","104","0"
"manipur","kamjong","128","17","111","0"
"manipur","kakching","109","27","82","0"
"manipur","unknown","91","789","-698","0"
"manipur","thoubal","87","23","64","0"
"manipur","bishnupur","85","58","27","0"
"manipur","jiribam","72","2","70","0"
"manipur","imphal east","60","16","44","0"
"manipur","chandel","39","4","35","0"
"manipur","pherzawl","32","15","17","0"
"manipur","noney","25","18","7","0"
"manipur","tengnoupal","14","13","1","0"
"puducherry","puducherry","1687","974","688","25"
"puducherry","karaikal","120","44","74","2"
"puducherry","yanam","62","23","38","1"
"puducherry","mahe","21","21","0","0"
"himachal pradesh","kangra","329","287","37","3"
"himachal pradesh","solan","306","113","187","0"
"himachal pradesh","hamirpur","279","264","12","3"
"himachal pradesh","una","158","122","36","0"
"himachal pradesh","chamba","78","56","22","0"
"himachal pradesh","shimla","71","43","26","2"
"himachal pradesh","bilaspur","63","47","16","0"
"himachal pradesh","sirmaur","63","33","23","0"
"himachal pradesh","mandi","47","33","12","2"
"himachal pradesh","kinnaur","39","21","18","0"
"himachal pradesh","kullu","20","7","13","0"
"himachal pradesh","lahaul and spiti","4","4","0","0"
"ladakh","kargil","733","702","30","1"
"ladakh","leh","426","283","142","1"
"nagaland","peren","324","78","246","0"
"nagaland","dimapur","287","30","257","0"
"nagaland","kohima","115","16","99","0"
"nagaland","mon","108","0","108","0"
"nagaland","tuensang","49","0","49","0"
"nagaland","others","46","0","46","0"
"nagaland","phek","18","9","9","0"
"nagaland","wokha","11","0","11","0"
"nagaland","zunheboto","7","0","7","0"
"nagaland","mokokchung","5","0","5","0"
"nagaland","kiphire","4","0","4","0"
"nagaland","longleng","4","0","4","0"
"nagaland","unknown","0","272","-272","0"
"chandigarh","chandigarh","691","485","194","12"
"dadra and nagar haveli and daman and diu","daman","331","228","101","1"
"dadra and nagar haveli and daman and diu","dadra and nagar haveli","285","187","92","1"
"dadra and nagar haveli and daman and diu","diu","37","21","12","0"
"dadra and nagar haveli and daman and diu","other state","0","0","0","0"
"arunachal pradesh","papum pare","332","34","297","1"
"arunachal pradesh","changlang","115","78","37","0"
"arunachal pradesh","namsai","39","10","29","0"
"arunachal pradesh","east siang","31","10","21","0"
"arunachal pradesh","west kameng","28","21","5","2"
"arunachal pradesh","lower subansiri","12","0","12","0"
"arunachal pradesh","lepa rada","10","1","9","0"
"arunachal pradesh","tirap","6","5","1","0"
"arunachal pradesh","lower siang","6","2","4","0"
"arunachal pradesh","longding","5","2","3","0"
"arunachal pradesh","lower dibang valley","5","3","2","0"
"arunachal pradesh","upper subansiri","4","0","4","0"
"arunachal pradesh","anjaw","4","0","4","0"
"arunachal pradesh","lohit","4","4","0","0"
"arunachal pradesh","east kameng","2","0","2","0"
"arunachal pradesh","west siang","2","2","0","0"
"arunachal pradesh","pakke kessang","1","1","0","0"
"arunachal pradesh","siang","1","0","1","0"
"arunachal pradesh","tawang","1","1","0","0"
"arunachal pradesh","upper siang","1","1","0","0"
"arunachal pradesh","kurung kumey","0","0","0","0"
"arunachal pradesh","shi yomi","0","0","0","0"
"arunachal pradesh","kra daadi","0","0","0","0"
"arunachal pradesh","upper dibang valley","0","0","0","0"
"arunachal pradesh","kamle","0","0","0","0"
"meghalaya","east khasi hills","333","17","314","2"
"meghalaya","ribhoi","35","0","35","0"
"meghalaya","west garo hills","15","4","11","0"
"meghalaya","unknown","15","14","1","0"
"meghalaya","south west garo hills","7","7","0","0"
"meghalaya","west jaintia hills","5","5","0","0"
"meghalaya","east jaintia hills","2","0","2","0"
"meghalaya","north garo hills","2","1","1","0"
"meghalaya","south garo hills","2","0","2","0"
"meghalaya","east garo hills","1","0","1","0"
"meghalaya","west khasi hills","1","1","0","0"
"meghalaya","south west khasi hills","0","0","0","0"
"mizoram","aizawl","116","39","77","0"
"mizoram","lunglei","63","47","16","0"
"mizoram","saiha","26","23","3","0"
"mizoram","lawngtlai","21","8","13","0"
"mizoram","mamit","21","20","1","0"
"mizoram","champhai","12","9","3","0"
"mizoram","kolasib","12","12","0","0"
"mizoram","serchhip","7","3","4","0"
"mizoram","khawzawl","3","3","0","0"
"mizoram","saitual","3","3","0","0"
"mizoram","hnahthial","0","0","0","0"
"andaman and nicobar islands","unknown","128","100","28","0"
"andaman and nicobar islands","south andaman","51","32","19","0"
"andaman and nicobar islands","north and middle andaman","1","1","0","0"
"andaman and nicobar islands","nicobars","0","0","0","0"
"sikkim","east sikkim","212","48","151","0"
"sikkim","south sikkim","44","26","18","0"
"sikkim","west sikkim","29","11","18","0"
"sikkim","north sikkim","1","1","0","0"
"sikkim","unknown","0","4","-4","0"
